#datatype measurement,tag,string,dateTime:RFC3339,double,double,double,double,double
name,id,LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std
energy,149,MAC000131,2012-05-11T00:00:00Z,0.119,0.2312083333333333,0.746,48,0.2363975157673889
energy,150,MAC000131,2012-05-12T00:00:00Z,0.1235,0.183,0.908,48,0.1986055644053458
energy,151,MAC000131,2012-05-13T00:00:00Z,0.1385,0.22375,0.98,48,0.2278944791279974
energy,152,MAC000131,2012-05-14T00:00:00Z,0.1699999999999999,0.3227916666666666,1.025,48,0.2779226861980614
energy,153,MAC000131,2012-05-15T00:00:00Z,0.1235,0.2607708312500001,1.0319999,48,0.2868581206472889
energy,154,MAC000131,2012-05-16T00:00:00Z,0.1225,0.2366666666666666,0.79,48,0.2363159022870845
energy,155,MAC000131,2012-05-17T00:00:00Z,0.12,0.2989791666666667,1.044,48,0.3096430676504346
energy,156,MAC000131,2012-05-18T00:00:00Z,0.103,0.2323333333333333,0.7859999999999999,48,0.2386071580789747
energy,157,MAC000131,2012-05-19T00:00:00Z,0.1159999999999999,0.1651875,0.6990000000000001,48,0.1680803577130182
energy,158,MAC000131,2012-05-20T00:00:00Z,0.1335,0.2452291666666666,0.737,48,0.2303412121719053
energy,159,MAC000131,2012-05-21T00:00:00Z,0.2735,0.3591875,0.79,48,0.2715216896042228
energy,160,MAC000131,2012-05-22T00:00:00Z,0.112,0.1536249999999999,0.7390000000000001,48,0.1562365398457695
energy,161,MAC000131,2012-05-23T00:00:00Z,0.1115,0.1317499999999999,0.288,48,0.0691192309354378
energy,162,MAC000131,2012-05-24T00:00:00Z,0.1145,0.1418124999999999,0.7120000000000001,48,0.1201733953369401
energy,163,MAC000131,2012-05-25T00:00:00Z,0.117,0.1570416666666666,0.865,48,0.1377135414675917
energy,164,MAC000131,2012-05-26T00:00:00Z,0.117,0.1482083333333333,0.6709999999999999,48,0.1078371424453566
energy,165,MAC000131,2012-05-27T00:00:00Z,0.1175,0.1346875,0.281,48,0.0619282894315263
energy,166,MAC000131,2012-05-28T00:00:00Z,0.108,0.1302083333333333,0.344,48,0.064073082718705
energy,167,MAC000131,2012-05-29T00:00:00Z,0.124,0.1331666666666666,0.286,48,0.0614233074250765
energy,168,MAC000131,2012-05-30T00:00:00Z,0.1165,0.1265208333333333,0.265,48,0.0499199314576611
energy,169,MAC000131,2012-05-31T00:00:00Z,0.122,0.1462708333333333,0.708,48,0.1064546131603537
energy,170,MAC000131,2012-06-01T00:00:00Z,0.1105,0.1203124999999999,0.312,48,0.0550555449697384
energy,171,MAC000131,2012-06-02T00:00:00Z,0.092,0.1137291666666667,0.299,48,0.0545717328369064
energy,172,MAC000131,2012-06-03T00:00:00Z,0.1165,0.1350208333333333,0.7829999999999999,48,0.1098601605491568
energy,173,MAC000131,2012-06-04T00:00:00Z,0.179,0.3791874979166665,1.1619999,48,0.3176294226395438
energy,174,MAC000131,2012-06-05T00:00:00Z,0.149,0.3168333333333333,0.742,48,0.2625158421426915
energy,175,MAC000131,2012-06-06T00:00:00Z,0.1035,0.120625,0.305,48,0.0611512338735312
energy,176,MAC000131,2012-06-07T00:00:00Z,0.1065,0.2119791645833333,1.2359999,48,0.2562401954268569
energy,177,MAC000131,2012-06-08T00:00:00Z,0.124,0.2413125,1.108,48,0.2746297434922851
energy,178,MAC000131,2012-06-09T00:00:00Z,0.092,0.1100625,0.369,48,0.0584721815108543
energy,179,MAC000131,2012-06-10T00:00:00Z,0.1,0.1512083333333333,0.7929999999999999,48,0.1344487497601102
energy,180,MAC000131,2012-06-11T00:00:00Z,0.135,0.2948750000000001,0.8140000000000001,48,0.264037845852736
energy,181,MAC000131,2012-06-12T00:00:00Z,0.1425,0.2749375000000001,0.727,48,0.2464084488612612
energy,182,MAC000131,2012-06-13T00:00:00Z,0.124,0.2377083333333333,0.7490000000000001,48,0.2296503316407251
energy,183,MAC000131,2012-06-14T00:00:00Z,0.134,0.27875,1.392,48,0.309692675392056
energy,184,MAC000131,2012-06-15T00:00:00Z,0.0965,0.1895,0.7040000000000001,48,0.1950332213926861
energy,185,MAC000131,2012-06-16T00:00:00Z,0.0815,0.1175416666666666,0.506,48,0.0788353949920091
energy,186,MAC000131,2012-06-17T00:00:00Z,0.1005,0.1404375,1.007,48,0.1437805517949771
energy,187,MAC000131,2012-06-18T00:00:00Z,0.1205,0.2043333333333333,0.8740000000000001,48,0.2179246730422404
energy,188,MAC000131,2012-06-19T00:00:00Z,0.104,0.1725833333333333,1.084,48,0.1989858150972804
energy,189,MAC000131,2012-06-20T00:00:00Z,0.14,0.1889583333333333,0.677,48,0.1743519256321283
energy,190,MAC000131,2012-06-21T00:00:00Z,0.1465,0.2436666666666667,0.862,48,0.2285232269337779
energy,191,MAC000131,2012-06-22T00:00:00Z,0.0814999999999999,0.1083333333333333,0.286,48,0.0527193828997773
energy,192,MAC000131,2012-06-23T00:00:00Z,0.1015,0.1375833333333333,0.8009999999999999,48,0.1177098548511466
energy,193,MAC000131,2012-06-24T00:00:00Z,0.105,0.216625,0.687,48,0.2112901227162472
energy,194,MAC000131,2012-06-25T00:00:00Z,0.107,0.2037083333333333,0.737,48,0.2131551186575848
energy,195,MAC000131,2012-06-26T00:00:00Z,0.1159999999999999,0.1686875,0.718,48,0.1570112011521281
energy,196,MAC000131,2012-06-27T00:00:00Z,0.1285,0.1289375,0.313,48,0.060192388806333
energy,197,MAC000131,2012-06-28T00:00:00Z,0.111,0.1355208333333333,0.695,48,0.0991999891865413
energy,198,MAC000131,2012-06-29T00:00:00Z,0.106,0.1329166666666666,0.757,48,0.1103520157309622
