#datatype measurement,tag,dateTime:RFC3339,string,double,double,double,double,double,double,double
name,LCLid,day,day_2,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-26T00:00:00Z,0.112,0.1648333333333334,0.6559999999999999,48,0.15318815205190645,79120000000000000,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-27T00:00:00Z,0.1195,0.23277083333333334,0.743,48,0.22349394199827674,11173000000000000,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-28T00:00:00Z,0.11,0.1826458333333333,0.769,48,0.17761582850484073,8767000000000000,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-29T00:00:00Z,0.1405,0.17037499999999994,1036,48,0.14571783065298755,8177999999999990,0.067
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-01T00:00:00Z,0.1225,0.21231250000000004,0.6809999999999999,48,0.20479893162225485,10191000000000000,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-02T00:00:00Z,0.09300000000000001,0.19379166666666667,0.728,48,0.2077344825690404,9302,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-03T00:00:00Z,0.0935,0.14179166666666668,0.575,48,0.11632620281343713,6806000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-04T00:00:00Z,0.133,0.2717083333333333,1268,48,0.2710373263399408,13042,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-05T00:00:00Z,0.1265,0.2882708333333333,0.877,48,0.270331690633919,13836999999999900,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-06T00:00:00Z,0.126,0.2664583333333333,0.765,48,0.2475905128568896,12789999999999900,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-07T00:00:00Z,0.1255,0.2783541666666667,0.797,48,0.25844703886321296,13360999999999900,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-08T00:00:00Z,0.0965,0.2588958333333334,1319,48,0.2963013302031259,12427000000000000,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-09T00:00:00Z,0.0885,0.2216875,0.74,48,0.22684422964068665,10640999999999900,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2012-03-10T00:00:00Z,0.1095,0.1995,0.815,48,0.20174926507287905,9576,0.061
